user	item	prediction
19	318	4.453571428571428
19	1234	4.044171779141104
22	908	2.7948717948717947
22	910	3.202025072324012
22	1034	2.7689556509299
22	1097	2.970815450643777
22	1884	2.8020541549953317
22	2011	2.9967400162999187
22	2046	3.202025072324012
22	2376	3.497524031459365
22	3527	3.723713371090864
22	3698	4.007982806263432
22	3896	3.4963570127504555
23	327	3.183333333333333
23	915	2.8020541549953317
23	1090	1.9085271317829455
23	1204	1.8940298507462687
23	1222	2.7375886524822697
23	1258	3.2446735395189004
23	1388	3.195028680688337
23	1958	2.8461538461538463
23	2119	3.179201485608171
23	2148	2.6102136529442417
23	2149	3.4246246246246246
23	2259	2.886807181889149
23	2409	2.420047732696897
23	2410	1.8940298507462687
23	2411	2.420047732696897
23	2617	2.405614714424008
23	2641	3.4121923937360177
23	2642	3.695173581710415
23	2643	3.523542251325226
23	2712	3.5064258423063563
23	2973	2.1031286210892235
23	3052	2.8594662218515428
23	3396	1.941944847605225
23	3525	2.420047732696897
23	3740	3.511018926626912
36	260	3.712283840190817
36	292	3.589453125
36	368	4.452784503631961
36	507	4.024322660098522
36	541	4.03582179409994
36	555	4.040625940415287
36	592	4.034950895436164
36	610	4.040625940415287
36	858	4.044171779141104
36	1036	3.979591836734694
36	1101	4.048500140173815
36	1198	4.040625940415287
36	1221	4.033030852994555
36	1264	4.03582179409994
36	1374	4.040625940415287
36	1376	3.5128205128205128
36	1597	4.452784503631961
36	1608	4.040625940415287
36	1954	3.729230769230769
36	2001	4.042897727272727
36	2013	4.453571428571428
36	2105	4.016247212488054
36	2194	3.818101545253863
36	2273	4.453571428571428
36	2529	4.42520325203252
36	2617	4.03582179409994
36	2640	4.024322660098522
36	2802	3.712283840190817
36	2948	4.453571428571428
36	2989	4.043584379358438
36	3104	4.453571428571428
36	3418	4.453571428571428
36	3480	4.452784503631961
36	3576	4.044171779141104
36	3635	4.453571428571428
36	3702	4.03582179409994
65	1	4.453571428571428
65	34	2.9967400162999187
65	454	4.44734693877551
65	524	3.712283840190817
65	587	3.712283840190817
65	588	4.453571428571428
65	592	4.452784503631961
65	832	3.5016470588235293
65	1094	4.44734693877551
65	1259	4.03582179409994
65	1958	4.453571428571428
65	2028	3.2041284403669725
65	2088	4.453571428571428
65	2133	4.453571428571428
65	2236	3.611395899053628
65	2421	4.043584379358438
65	2422	4.03582179409994
65	2431	4.453571428571428
65	2450	4.453571428571428
65	2470	4.044171779141104
65	2471	4.452784503631961
65	2712	4.453571428571428
65	2762	4.447530864197531
65	2858	4.453571428571428
65	2950	4.452784503631961
65	2987	4.044171779141104
65	3005	4.453571428571428
65	3175	4.043584379358438
65	3534	4.453571428571428
65	3555	3.4121923937360177
65	3753	4.044171779141104
68	1	4.042897727272727
68	17	4.031989336887704
68	28	3.712283840190817
68	223	4.44734693877551
68	562	3.729230769230769
68	1073	3.001737619461338
68	1080	3.204349796103308
68	1243	4.043584379358438
68	1265	3.4246246246246246
68	1270	3.5064258423063563
68	1307	3.2028762198253724
68	1517	3.5128205128205128
68	1639	3.712283840190817
68	1747	3.712283840190817
68	1912	3.202025072324012
68	1923	3.2042880258899675
68	1966	3.511018926626912
68	2064	4.032400125825731
68	2300	4.044171779141104
68	2324	3.4693624410816173
68	2355	3.589453125
68	2396	3.670264436049649
68	2657	3.712283840190817
68	2690	4.024322660098522
68	2692	3.729888119339371
68	2791	3.587088526685842
68	2797	3.589453125
68	3421	4.016247212488054
68	3507	3.589453125
68	3608	4.018661518661519
74	50	3.5064258423063563
74	123	4.044171779141104
74	164	3.695173581710415
74	593	3.587088526685842
74	615	4.453571428571428
74	858	3.7823508894314615
74	869	4.44734693877551
74	1066	4.03582179409994
74	1419	4.044171779141104
74	1589	3.4963570127504555
74	1732	4.453571428571428
74	2583	3.729888119339371
74	2858	4.447530864197531
74	3044	3.712283840190817
74	3176	4.452784503631961
74	3741	4.453571428571428
80	590	4.043584379358438
85	2188	4.03582179409994
85	2683	3.204349796103308
85	2699	3.211313131313131
85	2706	3.667441860465116
85	2710	2.7948717948717947
85	2908	3.723713371090864
85	3005	3.204349796103308
85	3317	2.886807181889149
85	3949	2.886807181889149
89	370	3.4722222222222223
89	527	2.420047732696897
89	1218	2.7948717948717947
89	1704	4.452784503631961
89	2791	2.4089958158995817
89	2792	2.783132530120482
89	3265	4.413216560509555
89	3408	4.016247212488054
89	3740	4.453571428571428
89	3868	2.4218942189421893
89	3869	3.101782178217822
90	1	2.7948717948717947
90	12	3.202025072324012
90	19	3.2042880258899675
90	32	2.7948717948717947
90	34	3.2042880258899675
90	45	3.2042880258899675
90	47	3.175560467319229
90	50	2.8020541549953317
90	60	3.202025072324012
90	63	3.712283840190817
90	95	3.001737619461338
90	110	2.8020541549953317
90	112	3.204349796103308
90	141	2.9967400162999187
90	164	3.005231037489102
90	185	2.8671978751660028
90	208	3.589453125
90	224	3.192569098323516
90	235	2.7689556509299
90	253	3.202025072324012
90	257	2.8403361344537816
90	281	3.712283840190817
90	294	2.9967400162999187
90	300	3.326259946949602
90	318	2.4134078212290504
90	337	2.72234762979684
90	344	2.8403361344537816
90	350	2.8020541549953317
90	353	3.723713371090864
90	356	2.9705882352941178
90	367	3.005231037489102
90	370	3.5248764415156506
90	373	3.195028680688337
90	376	2.962825278810409
90	377	2.4140302613480054
90	383	2.7689556509299
90	392	3.471760797342193
90	440	3.179201485608171
90	454	3.4963570127504555
90	457	3.4693624410816173
90	468	3.5064258423063563
90	471	3.194795539033457
90	477	2.7689556509299
90	527	3.195385370643103
90	539	3.587088526685842
90	551	3.511018926626912
90	553	2.8020541549953317
90	586	2.8020541549953317
90	608	2.1031286210892235
90	647	2.98546511627907
90	648	2.8020541549953317
90	708	3.493212669683258
90	736	2.426892950391645
90	743	3.850546448087432
90	765	3.204349796103308
90	780	3.4693624410816173
90	784	2.423611111111111
90	786	2.7948717948717947
90	788	3.5064258423063563
90	802	3.5229771638003946
90	852	3.5064258423063563
90	861	3.471760797342193
90	869	3.712283840190817
90	903	2.9705882352941178
90	913	3.0824881676808653
90	986	3.4963570127504555
90	993	2.866959648421893
90	994	3.005231037489102
90	999	3.005231037489102
90	1020	3.005231037489102
90	1037	2.5421412300683373
90	1042	2.7375886524822697
90	1049	3.5817663817663816
90	1080	2.8403361344537816
90	1089	2.8020541549953317
90	1136	3.224607129168264
90	1219	3.4693624410816173
90	1233	3.5064258423063563
90	1265	3.2042880258899675
90	1266	2.783132530120482
90	1275	2.9967400162999187
90	1284	2.426892950391645
90	1377	3.5817663817663816
90	1390	2.8020541549953317
90	1391	2.970815450643777
90	1401	3.497524031459365
90	1416	4.03582179409994
90	1429	3.202025072324012
90	1437	3.2042880258899675
90	1449	2.98546511627907
90	1457	4.040625940415287
90	1459	3.712283840190817
90	1466	3.204349796103308
90	1476	4.027091396248884
90	1480	3.2106824925816024
90	1485	3.194795539033457
90	1487	2.962825278810409
90	1518	3.271199687377882
90	1527	3.494134897360704
90	1552	3.695173581710415
90	1580	3.5817663817663816
90	1584	2.98546511627907
90	1586	3.589453125
90	1588	3.729888119339371
90	1617	3.204349796103308
90	1625	3.179201485608171
90	1627	4.028807845540913
90	1645	3.729230769230769
90	1673	3.554192229038855
90	1682	2.8020541549953317
90	1687	3.2042880258899675
90	1704	3.4963570127504555
90	1711	2.962825278810409
90	1721	2.545586107091172
90	1729	3.712283840190817
90	1747	2.98546511627907
90	1769	3.202025072324012
90	1779	2.9705882352941178
90	1783	2.8020541549953317
90	1784	3.4693624410816173
90	1799	3.195028680688337
90	1805	3.587088526685842
90	1845	2.8020541549953317
90	1858	3.497524031459365
90	1892	3.202025072324012
90	1894	4.03582179409994
90	1909	3.2042880258899675
90	1912	3.5064258423063563
90	1914	3.5817663817663816
90	1917	2.7689556509299
90	2012	4.040625940415287
90	2027	3.204349796103308
90	2060	3.005231037489102
90	2094	3.2042880258899675
90	2106	2.8020541549953317
90	2108	3.578877887788779
90	2170	4.042897727272727
90	2177	3.578877887788779
90	2190	1.9114503816793893
90	2273	2.4134078212290504
90	2278	3.527485046995158
90	2279	3.497524031459365
90	2302	3.5064258423063563
90	2321	4.03582179409994
90	2331	4.043584379358438
90	2335	2.9967400162999187
90	2394	2.4218942189421893
90	2395	3.2042880258899675
90	2424	3.2028762198253724
90	2427	3.712283840190817
90	2431	3.005231037489102
90	2505	3.471760797342193
90	2539	2.4218942189421893
90	2540	2.4061624649859943
90	2542	3.001737619461338
90	2582	3.589453125
90	2628	3.224607129168264
90	2683	2.8020541549953317
90	2688	3.5175202156334238
90	2700	2.886807181889149
90	2707	3.5064258423063563
90	2712	3.005231037489102
90	2723	2.8020541549953317
90	2762	2.8020541549953317
90	2763	2.420047732696897
90	2791	2.7948717948717947
90	2792	2.98546511627907
90	2803	2.7948717948717947
90	2841	3.001737619461338
90	2858	3.0824881676808653
90	2879	2.8020541549953317
90	2880	4.028807845540913
90	2881	2.8020541549953317
90	2908	3.005231037489102
90	2912	3.712283840190817
90	2916	3.511018926626912
90	2959	3.1942068965517243
90	2976	3.195028680688337
90	2997	2.98546511627907
90	3005	3.204349796103308
90	3082	3.183333333333333
90	3100	3.175112251443233
