method,RMSE,NDCG,F1,MAE
itemKNN,0.926118699478568,0.8829981024213813,0.7564925145126795,0.7271312738982069
BIAS,0.9058612383760619,0.8898416043490449,0.7514885615794422,0.7174897939270988
userKNN,0.9561414952766975,0.8702634758987497,0.74317275237803,0.7479452089348001
SVD,0.9066592497031281,0.888071124016639,0.7485123708111494,0.7175518117963627
BIASEDMF,0.9123386293662828,0.8833716206867722,0.7444479199249296,0.7200086009807106
BayesianRidge,0.9049544505960958,0.8879730424449643,0.7311060655205969,0.7188770012106179
Tweedie,0.9137835066646963,0.8880881426161994,0.7160576600737513,0.728456732013662
Ridge,0.9050402994263372,0.8878638128101265,0.7304573467401881,0.7189433567931217
RandomForest,0.9041038220458973,0.887435395111945,0.7352368591823492,0.7191380070610238
Bagging,0.9215558115283924,0.8794082299611455,0.733183134856775,0.7344019861830743
AdaBoost,0.9069135517118391,0.8902732028351311,0.73981392364453,0.7220653232321349
GradientBoosting,0.91005273500738,0.8838657882961775,0.727036676403765,0.7264750076865032
LinearSVR,0.9041728126997872,0.8881131462330257,0.7413078149920255,0.7159031639949713
