method,RMSE,NDCG,F1,MAE
itemKNN,0.9605249892394444,0.8841990146979212,0.7141738449490994,0.7555524015741356
BIAS,0.9142397778970017,0.8958231069293583,0.7294303797468354,0.7280879447785028
userKNN,0.9736316340601358,0.8866315594373257,0.7358916478555305,0.7698391249828339
SVD,0.9151119457052864,0.8938438145174459,0.7341176470588235,0.7288232715670122
BIASEDMF,0.9222202039065777,0.8902961606438298,0.7287066246056783,0.7351761329614881
BayesianRidge,0.9129357621831765,0.8919058228506614,0.723404255319149,0.7230239086683428
Tweedie,0.9190705226186651,0.8903768589039823,0.7204472843450479,0.731986722188211
Ridge,0.9135000183549213,0.8928475485627215,0.7274167987321711,0.7234826634599941
RandomForest,0.9124827148430937,0.8919297506860445,0.7418397626112759,0.7271347998243105
Bagging,0.9407538721185073,0.8916044441781389,0.6993769470404985,0.7522741866438356
AdaBoost,0.9146283286138875,0.8921805740316292,0.7417702999268471,0.7319436021008476
GradientBoosting,0.9391807225204709,0.8868111001184487,0.7210884353741497,0.7507798613066845
LinearSVR,0.9199215594199037,0.8920550012993738,0.7338461538461538,0.7263008732587979
