method,RMSE,NDCG,F1,MAE
itemKNN,0.9775756551284878,0.8913082517183109,0.7539797395079595,0.767548654291411
BIAS,0.9440577703668397,0.902600187125088,0.7550866616428034,0.7454111195530642
userKNN,0.9820983458073448,0.8920188412574032,0.7260677466863034,0.7809329986631073
SVD,0.9437005202267272,0.9029890696996477,0.7511380880121397,0.7457273351092125
BIASEDMF,0.9610892024131104,0.889610772160413,0.7345724907063197,0.7623415604259319
BayesianRidge,0.9532111227538845,0.8991818006067165,0.7524602573807722,0.7571616464623188
Tweedie,0.9532559654375883,0.9021771988592288,0.7445482866043613,0.7589041204814484
Ridge,0.9531157153968176,0.9010482046236183,0.7515151515151515,0.756619811826702
RandomForest,0.957234704112622,0.8968130536504608,0.7507552870090635,0.7570766155926795
Bagging,0.9786329646112828,0.89195614130157,0.7307110438729199,0.7823706643151088
AdaBoost,0.9593009550960722,0.8980927131690241,0.7444015444015444,0.7608319214577055
GradientBoosting,0.9806907565214841,0.8954434936024618,0.7379679144385026,0.7845578942267105
LinearSVR,0.952520115239069,0.9008815045455943,0.7513069454817027,0.7522643744054136
