method,RMSE,NDCG,F1,MAE
itemKNN,0.9921974823238521,0.8910417852553767,0.7172941927249521,0.7774867987791786
BIAS,0.9423397611476074,0.9022986792097017,0.726790450928382,0.7499284744073305
userKNN,0.9828638884089345,0.8916084402246085,0.7164948453608248,0.7795086089188885
SVD,0.9437188822598003,0.9010193158737086,0.726790450928382,0.7502405457277475
BIASEDMF,0.9566893086315312,0.8954436929793674,0.7117296222664016,0.7627118669962761
BayesianRidge,0.9436897709186974,0.9033680415713491,0.7242960052390308,0.7497676055337879
Tweedie,0.9464560629740664,0.901361961488027,0.7124405166553365,0.7542115870335622
Ridge,0.9441476470734703,0.9058578136728964,0.7230971128608924,0.7499174040683045
RandomForest,0.9436460471747486,0.9015362256141328,0.72680077871512,0.755950317875334
Bagging,0.9639053817367315,0.8921614737107939,0.7061958694203864,0.7747087647928994
AdaBoost,0.9454116791266856,0.9038260875802958,0.7279693486590039,0.763115868306248
GradientBoosting,0.9631753015328687,0.8994810269250942,0.7141914191419142,0.7723214845874729
LinearSVR,0.9478917181089277,0.9060606049559835,0.7376425855513308,0.7476454356170046
