method,RMSE,NDCG,F1,MAE
itemKNN,0.91898821778105,0.9027396201161245,0.7413933315261588,0.7087109456216228
BIAS,0.91657378853537,0.8930345645775152,0.7386948280530734,0.7171376473319191
userKNN,0.9543935413014651,0.8923577067611698,0.7307795338869542,0.7384864441999293
SVD,0.9081407881776299,0.8952322982185928,0.7420924574209246,0.7082399148488884
BIASEDMF,0.9026039059970216,0.9020719779294798,0.7521505376344086,0.7015343474150532
BayesianRidge,0.8953843122347023,0.9041193833740153,0.7307259425998874,0.6995961328811591
Tweedie,0.9027821638819886,0.9028625300966844,0.7165572574762947,0.7070689285181708
Ridge,0.8954100168735905,0.9040647440237762,0.730239099859353,0.699576393809836
RandomForest,0.8971123380376461,0.9040112116133807,0.7397754055178151,0.7028160233301329
Bagging,0.9101204702059373,0.8974876349469255,0.7289562289562289,0.7122590639337723
AdaBoost,0.904132695123398,0.9032539625109562,0.7268853855986366,0.712565685467298
GradientBoosting,0.9013888734301799,0.9025142278891533,0.7328201539538138,0.707534821202854
LinearSVR,0.8991055915179731,0.9032790756535891,0.7380033094318809,0.6968039750223547
