method,value
StochasticItemKNN,0.008429195919787
StochasticItemKNN,0.0170327049570792
StochasticItemKNN,0.0094314005296723
StochasticItemKNN,0.0060232191461554
StochasticItemKNN,0.0101095049735864
StochasticItemKNN,0.0039135356675478
StochasticItemKNN,0.0026477895366577
StochasticItemKNN,0.0019660374248591
StochasticItemKNN,0.0094534856542565
StochasticItemKNN,0.0115253712619389
StochasticItemKNN,0.0145701076393112
StochasticItemKNN,0.0117737064772638
StochasticItemKNN,0.0153660853314626
StochasticItemKNN,0.0025331446906381
StochasticItemKNN,0.0199297752981069
StochasticItemKNN,0.0220562565386809
StochasticItemKNN,0.0071267914363892
StochasticItemKNN,0.0203478744874355
StochasticItemKNN,0.0193571054640027
StochasticItemKNN,0.0230556274552727
StochasticItemKNN,0.0106836840098467
StochasticItemKNN,0.0112653617853708
StochasticItemKNN,0.0211925443830173
StochasticItemKNN,0.0023170818922761
StochasticItemKNN,0.0069278293408664
StochasticItemKNN,0.0075854084863254
StochasticItemKNN,0.0223303638460004
StochasticItemKNN,0.0079050527500154
StochasticItemKNN,0.0074768196095583
StochasticItemKNN,0.0078688093868116
StochasticItemKNN,0.0127624461351117
StochasticItemKNN,0.0010326180374187
StochasticItemKNN,0.0206805021787297
StochasticItemKNN,0.0105405878916258
StochasticItemKNN,0.0162859169913731
StochasticItemKNN,0.0056825239117986
StochasticItemKNN,0.0316996615103782
StochasticItemKNN,0.004712193773413
StochasticItemKNN,0.0005561148299121
StochasticItemKNN,0.036966758627538
StochasticItemKNN,0.0193915091398713
StochasticItemKNN,0.0133640628603241
StochasticItemKNN,0.0245588988576089
StochasticItemKNN,0.0089534798688819
StochasticItemKNN,0.0369164875122249
StochasticItemKNN,0.0349568172410367
StochasticItemKNN,0.0233660118669781
StochasticItemKNN,0.0194065452778305
StochasticItemKNN,0.0138396048351395
StochasticItemKNN,0.0444047217979789
StochasticItemKNN,0.037658264171273
StochasticItemKNN,0.0212674385486052
StochasticItemKNN,0.0076252288478952
StochasticItemKNN,0.0235739815876708
StochasticItemKNN,0.0341462995079214
StochasticItemKNN,0.0291126081245044
StochasticItemKNN,0.0081226432610381
StochasticItemKNN,0.0151419692895016
StochasticItemKNN,0.0219380024662662
StochasticItemKNN,0.0065966879047162
StochasticItemKNN,0.0080554020049623
StochasticItemKNN,0.0197689546629274
StochasticItemKNN,0.0120585336322399
StochasticItemKNN,0.0046168045383196
StochasticItemKNN,0.0169928953291855
StochasticItemKNN,0.004727214435055
StochasticItemKNN,0.0081835537946678
StochasticItemKNN,0.0105520743992708
StochasticItemKNN,0.001486829366482
StochasticItemKNN,0.0026458762023821
StochasticItemKNN,0.0039995038864849
StochasticItemKNN,0.0126233197361153
StochasticItemKNN,0.0221047131867512
StochasticItemKNN,0.0094566257471282
StochasticItemKNN,0.0227872098278805
StochasticItemKNN,0.0228086232249808
StochasticItemKNN,0.0070171409092339
StochasticItemKNN,0.0381015226137306
StochasticItemKNN,0.0086047878250503
StochasticItemKNN,0.0194210510497941
StochasticItemKNN,0.0066431413173957
StochasticItemKNN,0.0096485117172248
StochasticItemKNN,0.0157993348313635
StochasticItemKNN,0.0051389926935211
StochasticItemKNN,0.0006487370161069
StochasticItemKNN,0.0094408831367851
StochasticItemKNN,0.0058764167576026
StochasticItemKNN,0.0206978609568866
StochasticItemKNN,0.0209135155358074
StochasticItemKNN,0.0046372903641757
StochasticItemKNN,0.0172514034369237
StochasticItemKNN,0.0203433239209858
StochasticItemKNN,0.0074804712473037
StochasticItemKNN,0.0271108277433866
StochasticItemKNN,0.0183554498293415
StochasticItemKNN,0.019683457935876
StochasticItemKNN,0.0391008442773233
StochasticItemKNN,0.0285813636553573
StochasticItemKNN,0.018436518879376
StochasticItemKNN,0.0142240417857301
NMF,0.0006101388482765
NMF,0.0069534933237286
NMF,0.0042086636314108
NMF,5.682277821528192e-05
NMF,0.000278367909126
NMF,0.0100592282332123
NMF,0.0151365152236367
NMF,0.0141448676948303
NMF,0.0028991159476939
NMF,0.0066729629947642
NMF,0.0009783907394984
NMF,0.0034352785289921
NMF,0.0042854905482185
NMF,0.0029791033441737
NMF,0.0007345455083356
NMF,0.0056353222644208
