method,value
StochasticItemKNN,0.0095102751529346
StochasticItemKNN,0.0172305280994204
StochasticItemKNN,0.0111817825328859
StochasticItemKNN,0.0056212193655106
StochasticItemKNN,0.0158710811818464
StochasticItemKNN,0.0306587230868075
StochasticItemKNN,0.0375961531534856
StochasticItemKNN,0.0266986291392609
StochasticItemKNN,0.0305133476544697
StochasticItemKNN,0.0266177105918992
StochasticItemKNN,0.0302899203952583
StochasticItemKNN,0.0282557150795259
StochasticItemKNN,0.0281534914358896
StochasticItemKNN,0.0327342155154302
StochasticItemKNN,0.0268239365540758
StochasticItemKNN,0.0281802067856651
StochasticItemKNN,0.031273222554533
StochasticItemKNN,0.0271173738879583
StochasticItemKNN,0.030436835448301
StochasticItemKNN,0.0234700385752354
StochasticItemKNN,0.0628605091200743
StochasticItemKNN,0.0589327897014386
StochasticItemKNN,0.0549432211088377
StochasticItemKNN,0.0619269847478102
StochasticItemKNN,0.055738454565771
StochasticItemKNN,0.0355811875491131
StochasticItemKNN,0.0421945422023222
StochasticItemKNN,0.0417042104524358
StochasticItemKNN,0.0347304318994824
StochasticItemKNN,0.0332744175860522
StochasticItemKNN,0.0038820363590187
StochasticItemKNN,0.0001836127557031
StochasticItemKNN,0.010602771904453
StochasticItemKNN,0.007900764706308
StochasticItemKNN,0.0027005621554667
StochasticItemKNN,0.0886311893328594
StochasticItemKNN,0.0801767507889086
StochasticItemKNN,0.086152841376806
StochasticItemKNN,0.0826237115713175
StochasticItemKNN,0.0754757189645923
StochasticItemKNN,0.0140745255893313
StochasticItemKNN,0.0244310515357688
StochasticItemKNN,0.0289124245023006
StochasticItemKNN,0.0268772815974843
StochasticItemKNN,0.0275493607737953
StochasticItemKNN,0.0441205961463929
StochasticItemKNN,0.033475143561476
StochasticItemKNN,0.0266233760684433
StochasticItemKNN,0.0371556683024207
StochasticItemKNN,0.0166012571755775
StochasticItemKNN,0.0432133928544599
StochasticItemKNN,0.0463866182849468
StochasticItemKNN,0.0672903146740745
StochasticItemKNN,0.0492050079464306
StochasticItemKNN,0.0508879437331479
StochasticItemKNN,0.0296503512999473
StochasticItemKNN,0.0326747170048157
StochasticItemKNN,0.0258952644877494
StochasticItemKNN,0.0200740945213754
StochasticItemKNN,0.0267668882066802
StochasticItemKNN,0.0181439577347716
StochasticItemKNN,0.014126885447297
StochasticItemKNN,0.0058788350834748
StochasticItemKNN,0.0067382802968811
